order_id,customer_name,category,sub_category,city,order_date,region,sales,discount,profit,state,,,,
OD71,Verma,"Eggs,Meat&Fish",Mutton,Kanyakumari,9-18-2017,East,994,0.31,357.84,TamilNadu,9-18-2017,,,
OD72,Yusuf,Snacks,Noodles,Kanyakumari,9-14-2018,Central,2468,0.18,1011.88,TamilNadu,9-14-2018,,,
OD73,Alan,Snacks,Cookies,Theni,4-26-2016,South,721,0.27,100.94,TamilNadu,4-26-2016,,,
OD74,Vidya,Fruits&Veggies,OrganicVegetables,Vellore,4-26-2016,South,2375,0.21,475,TamilNadu,4-26-2016,,,
OD75,Arvind,Beverages,SoftDrinks,Vellore,4-26-2016,South,1965,0.13,117.9,TamilNadu,4-26-2016,,,
OD76,Veronica,Beverages,SoftDrinks,Bodi,2018-09-12,Central,1489,0.12,193.57,TamilNadu,12-09-2018,,,
OD77,Arvind,Fruits&Veggies,OrganicFruits,Ooty,2018-09-12,Central,1250,0.27,75,TamilNadu,12-09-2018,,,
OD78,Anu,Snacks,Noodles,Coimbatore,2018-09-12,Central,1358,0.31,488.88,TamilNadu,12-09-2018,,,
OD79,Haseena,Snacks,Cookies,Vellore,11-26-2015,Central,719,0.2,64.71,TamilNadu,11-26-2015,,,
OD80,Veena,Fruits&Veggies,OrganicFruits,Chennai,2017-12-06,South,2303,0.26,621.81,TamilNadu,06-12-2017,,,
OD81,Kumar,Beverages,HealthDrinks,Kanyakumari,2017-12-06,South,2027,0.34,912.15,TamilNadu,06-12-2017,,,
OD82,Amy,FoodGrains,Atta&Flour,Bodi,2015-12-10,West,1739,0.29,765.16,TamilNadu,10-12-2015,,,
OD83,Komal,Oil&Masala,Spices,Cumbum,2015-12-10,West,990,0.26,227.7,TamilNadu,10-12-2015,,,
OD84,Ravi,Beverages,SoftDrinks,Dharmapuri,2016-03-09,South,2354,0.11,682.66,TamilNadu,09-03-2016,,,
OD85,Amy,Fruits&Veggies,OrganicFruits,Bodi,11-13-2018,Central,1044,0.1,344.52,TamilNadu,11-13-2018,,,
OD86,Willams,Oil&Masala,Spices,Dindigul,5-28-2018,South,2129,0.25,659.99,TamilNadu,5-28-2018,,,
OD87,Sharon,FoodGrains,Rice,Theni,10-26-2018,Central,1759,0.1,615.65,TamilNadu,10-26-2018,,,
OD88,Ramesh,"Eggs,Meat&Fish",Eggs,Viluppuram,10-26-2018,Central,1663,0.26,665.2,TamilNadu,10-26-2018,,,
OD89,Sheeba,Bakery,Breads&Buns,Perambalur,2017-05-04,Central,2111,0.21,189.99,TamilNadu,04-05-2017,,,
OD90,Krithika,FoodGrains,Dals&Pulses,Madurai,9-17-2017,West,1878,0.12,450.72,TamilNadu,9-17-2017,,,
OD91,Willams,"Eggs,Meat&Fish",Chicken,Ooty,9-17-2017,West,769,0.34,46.14,TamilNadu,9-17-2017,,,
OD92,Roshan,Beverages,HealthDrinks,Virudhunagar,9-17-2017,West,1241,0.14,409.53,TamilNadu,9-17-2017,,,
OD93,Ravi,FoodGrains,Atta&Flour,Madurai,1-31-2016,Central,2128,0.14,383.04,TamilNadu,1-31-2016,,,
OD94,Ram,Fruits&Veggies,FreshFruits,Namakkal,1-31-2016,Central,2257,0.33,270.84,TamilNadu,1-31-2016,,,
OD95,Mathew,Snacks,Chocolates,Bodi,1-31-2016,Central,1285,0.28,218.45,TamilNadu,1-31-2016,,,
OD96,Veena,"Eggs,Meat&Fish",Fish,Virudhunagar,2018-06-11,West,1230,0.13,442.8,TamilNadu,11-06-2018,,,
OD97,Sudha,FoodGrains,Atta&Flour,Ooty,2018-09-11,East,1856,0.21,723.84,TamilNadu,11-09-2018,,,
OD98,Sharon,Fruits&Veggies,FreshFruits,Trichy,6-17-2018,West,545,0.31,125.35,TamilNadu,6-17-2018,,,
OD99,Vince,Snacks,Chocolates,Dharmapuri,2017-06-09,Central,2301,0.28,391.17,TamilNadu,09-06-2017,,,
OD100,Krithika,Oil&Masala,Spices,Chennai,8-29-2017,Central,1475,0.26,531,TamilNadu,8-29-2017,,,
OD101,Adavan,Bakery,Cakes,Coimbatore,8-29-2017,Central,2118,0.35,910.74,TamilNadu,8-29-2017,,,
OD102,Roshan,Beverages,SoftDrinks,Coimbatore,8-29-2017,Central,1527,0.17,671.88,TamilNadu,8-29-2017,,,
OD103,Vinne,Snacks,Chocolates,Nagercoil,2017-01-12,Central,567,0.18,175.77,TamilNadu,12-01-2017,,,
OD104,Amy,Fruits&Veggies,FreshFruits,Ramanadhapuram,11-13-2016,West,969,0.27,184.11,TamilNadu,11-13-2016,,,
OD105,Suresh,FoodGrains,Dals&Pulses,Karur,11-13-2016,West,2300,0.14,1035,TamilNadu,11-13-2016,,,
OD106,Komal,Oil&Masala,Masalas,Kanyakumari,11-13-2016,West,1575,0.33,78.75,TamilNadu,11-13-2016,,,
OD107,Sundar,Beverages,HealthDrinks,Cumbum,11-23-2018,South,540,0.12,108,TamilNadu,11-23-2018,,,
OD108,Willams,Snacks,Cookies,Tirunelveli,11-23-2018,South,536,0.34,176.88,TamilNadu,11-23-2018,,,
OD109,Vidya,"Eggs,Meat&Fish",Eggs,Tirunelveli,11-23-2018,South,556,0.21,155.68,TamilNadu,11-23-2018,,,
OD110,Shree,Fruits&Veggies,FreshFruits,Coimbatore,10-15-2016,Central,1179,0.16,271.17,TamilNadu,10-15-2016,,,
OD111,Sundar,FoodGrains,Dals&Pulses,Namakkal,12-25-2018,East,1487,0.12,505.58,TamilNadu,12-25-2018,,,
OD112,Arvind,Bakery,Breads&Buns,Pudukottai,2017-03-11,Central,2220,0.1,111,TamilNadu,11-03-2017,,,
OD113,Ravi,Oil&Masala,EdibleOil&Ghee,Dindigul,2017-03-11,Central,2155,0.3,581.85,TamilNadu,11-03-2017,,,
OD114,Vinne,Fruits&Veggies,FreshVegetables,Krishnagiri,8-25-2015,East,1154,0.1,69.24,TamilNadu,8-25-2015,,,
OD115,Muneer,Snacks,Noodles,Salem,8-25-2015,East,2420,0.11,242,TamilNadu,8-25-2015,,,
OD116,Rumaiza,Snacks,Chocolates,Karur,8-25-2015,East,1305,0.24,287.1,TamilNadu,8-25-2015,,,
OD117,Hussain,Fruits&Veggies,OrganicFruits,Bodi,8-25-2015,East,927,0.2,157.59,TamilNadu,8-25-2015,,,
OD118,Arvind,Fruits&Veggies,OrganicVegetables,Viluppuram,2016-02-03,West,983,0.11,186.77,TamilNadu,03-02-2016,,,
OD119,Akash,FoodGrains,Rice,Chennai,2016-05-04,South,903,0.1,90.3,TamilNadu,04-05-2016,,,
OD120,Ganesh,"Eggs,Meat&Fish",Chicken,Cumbum,2017-12-06,East,1235,0.12,74.1,TamilNadu,06-12-2017,,,
OD121,Alan,Fruits&Veggies,OrganicVegetables,Tirunelveli,2017-12-06,East,1243,0.24,174.02,TamilNadu,06-12-2017,,,
OD122,Harish,Bakery,Cakes,Krishnagiri,2017-12-06,East,649,0.34,201.19,TamilNadu,06-12-2017,,,
OD123,Veronica,"Eggs,Meat&Fish",Mutton,Tenkasi,2017-12-06,East,2354,0.11,188.32,TamilNadu,06-12-2017,,,
OD124,Anu,Beverages,SoftDrinks,Cumbum,2017-12-06,East,1443,0.27,187.59,TamilNadu,06-12-2017,,,
OD125,Sudeep,Bakery,Breads&Buns,Madurai,12-26-2015,Central,975,0.26,390,TamilNadu,12-26-2015,,,
OD126,Yusuf,Fruits&Veggies,OrganicVegetables,Virudhunagar,9-20-2015,Central,889,0.19,71.12,TamilNadu,9-20-2015,,,
OD127,Shah,"Eggs,Meat&Fish",Mutton,Karur,2018-05-11,West,2352,0.17,870.24,TamilNadu,11-05-2018,,,
OD128,Harish,Oil&Masala,Spices,Tirunelveli,2018-05-11,West,1293,0.23,336.18,TamilNadu,11-05-2018,,,
OD129,Sharon,FoodGrains,Rice,Bodi,2017-06-11,West,1458,0.29,597.78,TamilNadu,11-06-2017,,,
OD130,Peer,FoodGrains,Atta&Flour,Coimbatore,2017-06-11,West,1801,0.22,126.07,TamilNadu,11-06-2017,,,
OD131,Haseena,Snacks,Chocolates,Tenkasi,2018-02-02,East,1261,0.29,416.13,TamilNadu,02-02-2018,,,
OD132,Sundar,Beverages,SoftDrinks,Nagercoil,2018-02-02,East,2112,0.28,105.6,TamilNadu,02-02-2018,,,
OD133,Ram,"Eggs,Meat&Fish",Fish,Ramanadhapuram,2018-02-02,East,640,0.24,140.8,TamilNadu,02-02-2018,,,
OD134,Shah,Bakery,Cakes,Tenkasi,10-13-2017,West,1658,0.12,315.02,TamilNadu,10-13-2017,,,
OD135,Harish,Beverages,HealthDrinks,Ramanadhapuram,10-13-2017,West,2373,0.18,664.44,TamilNadu,10-13-2017,,,
OD136,Veena,Fruits&Veggies,OrganicFruits,Cumbum,10-13-2017,West,1430,0.19,514.8,TamilNadu,10-13-2017,,,
OD137,Sundar,Oil&Masala,Spices,Viluppuram,10-13-2017,West,1873,0.3,674.28,TamilNadu,10-13-2017,,,
OD138,Jackson,"Eggs,Meat&Fish",Eggs,Theni,10-13-2017,West,867,0.14,329.46,TamilNadu,10-13-2017,,,
OD139,Malik,Snacks,Noodles,Theni,10-13-2017,West,1101,0.19,484.44,TamilNadu,10-13-2017,,,
OD140,Hussain,"Eggs,Meat&Fish",Mutton,Ooty,10-13-2017,West,1088,0.28,424.32,TamilNadu,10-13-2017,,,
OD141,Veena,Bakery,Biscuits,Perambalur,2017-05-09,East,866,0.32,381.04,TamilNadu,09-05-2017,,,
OD142,Aditi,Oil&Masala,Masalas,Tirunelveli,9-18-2018,West,2483,0.14,223.47,TamilNadu,9-18-2018,,,
OD143,Surya,FoodGrains,Atta&Flour,Kanyakumari,9-18-2018,West,1335,0.11,293.7,TamilNadu,9-18-2018,,,
OD144,Sharon,"Eggs,Meat&Fish",Fish,Tenkasi,9-18-2018,West,765,0.24,252.45,TamilNadu,9-18-2018,,,
OD145,Vinne,"Eggs,Meat&Fish",Mutton,Tenkasi,12-22-2018,Central,2403,0.2,624.78,TamilNadu,12-22-2018,,,
OD146,Malik,Oil&Masala,EdibleOil&Ghee,Coimbatore,2016-07-09,West,1551,0.13,573.87,TamilNadu,09-07-2016,,,
OD147,Ridhesh,FoodGrains,OrganicStaples,Theni,10-22-2015,East,1564,0.27,187.68,TamilNadu,10-22-2015,,,
OD148,Harish,Fruits&Veggies,FreshVegetables,Tirunelveli,2017-05-12,Central,1125,0.33,292.5,TamilNadu,12-05-2017,,,
OD149,Veronica,Beverages,HealthDrinks,Tenkasi,2017-05-12,Central,768,0.1,184.32,TamilNadu,12-05-2017,,,
OD150,Ravi,"Eggs,Meat&Fish",Fish,Vellore,2017-05-12,Central,1985,0.26,734.45,TamilNadu,12-05-2017,,,
OD151,Muneer,FoodGrains,Rice,Bodi,2017-05-12,Central,2287,0.13,1029.15,TamilNadu,12-05-2017,,,
OD152,Jackson,Snacks,Chocolates,Pudukottai,3-13-2017,West,1016,0.34,335.28,TamilNadu,3-13-2017,,,
OD153,Amy,Snacks,Cookies,Namakkal,3-13-2017,West,852,0.26,76.68,TamilNadu,3-13-2017,,,
OD154,Ram,FoodGrains,OrganicStaples,Ramanadhapuram,5-31-2016,West,1233,0.28,234.27,TamilNadu,5-31-2016,,,
OD155,Jonas,Snacks,Noodles,Pudukottai,5-31-2016,West,2236,0.14,626.08,TamilNadu,5-31-2016,,,
OD156,Ramesh,Fruits&Veggies,FreshVegetables,Viluppuram,5-31-2016,West,2188,0.32,809.56,TamilNadu,5-31-2016,,,
OD157,Peer,Snacks,Cookies,Coimbatore,5-28-2016,West,1114,0.2,456.74,TamilNadu,5-28-2016,,,
OD158,Komal,Oil&Masala,EdibleOil&Ghee,Salem,2015-01-03,West,1774,0.15,620.9,TamilNadu,03-01-2015,,,
OD159,Amy,Beverages,SoftDrinks,Karur,11-20-2017,Central,2364,0.21,1040.16,TamilNadu,11-20-2017,,,
OD160,Amrish,FoodGrains,Dals&Pulses,Madurai,11-20-2017,Central,1487,0.11,148.7,TamilNadu,11-20-2017,,,
OD161,Yadav,Beverages,SoftDrinks,Ooty,2017-11-05,West,713,0.3,192.51,TamilNadu,05-11-2017,,,
OD162,Vinne,"Eggs,Meat&Fish",Fish,Kanyakumari,12-28-2016,East,737,0.2,280.06,TamilNadu,12-28-2016,,,
OD163,Amrish,Snacks,Chocolates,Trichy,11-16-2017,West,1004,0.26,341.36,TamilNadu,11-16-2017,,,
OD164,Hussain,Snacks,Cookies,Theni,2017-07-11,West,1516,0.32,121.28,TamilNadu,11-07-2017,,,
OD165,Haseena,FoodGrains,Atta&Flour,Ramanadhapuram,2015-08-09,Central,1442,0.28,605.64,TamilNadu,09-08-2015,,,
OD166,Sudha,Beverages,HealthDrinks,Madurai,2015-08-09,Central,1690,0.33,422.5,TamilNadu,09-08-2015,,,
OD167,Adavan,Snacks,Chocolates,Bodi,2015-08-09,Central,2021,0.13,343.57,TamilNadu,09-08-2015,,,
OD168,Aditi,"Eggs,Meat&Fish",Mutton,Ooty,2015-08-09,Central,2340,0.25,491.4,TamilNadu,09-08-2015,,,
OD169,Krithika,Oil&Masala,Spices,Viluppuram,2015-08-09,Central,705,0.15,176.25,TamilNadu,09-08-2015,,,
OD170,Sharon,"Eggs,Meat&Fish",Chicken,Trichy,2015-08-09,Central,1215,0.2,60.75,TamilNadu,09-08-2015,,,
OD171,Akash,FoodGrains,Dals&Pulses,Krishnagiri,2015-08-09,Central,552,0.25,237.36,TamilNadu,09-08-2015,,,
OD172,Sabeela,Beverages,HealthDrinks,Tirunelveli,2015-05-08,West,1412,0.11,564.8,TamilNadu,08-05-2015,,,
OD173,Surya,FoodGrains,Dals&Pulses,Tirunelveli,2015-05-08,West,791,0.32,150.29,TamilNadu,08-05-2015,,,
OD174,Alan,Fruits&Veggies,OrganicVegetables,Viluppuram,2015-05-08,West,2476,0.33,420.92,TamilNadu,08-05-2015,,,
OD175,Aditi,Fruits&Veggies,FreshVegetables,Karur,9-14-2015,Central,1747,0.27,471.69,TamilNadu,9-14-2015,,,
OD176,Shah,Fruits&Veggies,OrganicFruits,Pudukottai,9-14-2015,Central,1973,0.15,848.39,TamilNadu,9-14-2015,,,
OD177,Mathew,Oil&Masala,Spices,Krishnagiri,4-21-2018,Central,2025,0.24,546.75,TamilNadu,4-21-2018,,,
OD178,Rumaiza,Snacks,Noodles,Vellore,11-21-2016,East,1016,0.29,223.52,TamilNadu,11-21-2016,,,
OD179,Arvind,Fruits&Veggies,OrganicFruits,Trichy,11-21-2016,East,689,0.3,55.12,TamilNadu,11-21-2016,,,
OD180,Krithika,FoodGrains,Atta&Flour,Karur,12-15-2016,East,1322,0.16,343.72,TamilNadu,12-15-2016,,,
OD181,Arvind,Snacks,Cookies,Bodi,2015-05-12,Central,1605,0.25,433.35,TamilNadu,12-05-2015,,,
OD182,Ravi,Beverages,HealthDrinks,Namakkal,2015-05-12,Central,1718,0.2,171.8,TamilNadu,12-05-2015,,,
OD183,Jonas,Oil&Masala,EdibleOil&Ghee,Madurai,11-19-2015,South,2177,0.35,783.72,TamilNadu,11-19-2015,,,
OD184,Surya,FoodGrains,OrganicStaples,Cumbum,11-19-2015,South,578,0.19,236.98,TamilNadu,11-19-2015,,,
OD185,Amrish,FoodGrains,Dals&Pulses,Dindigul,11-19-2015,South,782,0.28,195.5,TamilNadu,11-19-2015,,,
OD186,Shah,Snacks,Noodles,Chennai,11-28-2017,East,1388,0.35,97.16,TamilNadu,11-28-2017,,,
OD187,Krithika,Bakery,Cakes,Cumbum,8-26-2015,West,2264,0.21,792.4,TamilNadu,8-26-2015,,,
OD188,Anu,Beverages,SoftDrinks,Pudukottai,7-16-2017,Central,813,0.16,138.21,TamilNadu,7-16-2017,,,
OD189,Yusuf,Fruits&Veggies,OrganicFruits,Madurai,7-16-2017,Central,2015,0.24,564.2,TamilNadu,7-16-2017,,,
OD190,Rumaiza,Beverages,SoftDrinks,Vellore,2016-12-10,East,1433,0.3,472.89,TamilNadu,10-12-2016,,,
OD191,Amrish,Fruits&Veggies,OrganicFruits,Chennai,2016-12-10,East,2093,0.11,334.88,TamilNadu,10-12-2016,,,
OD192,Muneer,Fruits&Veggies,FreshVegetables,Chennai,2016-12-10,East,2149,0.17,623.21,TamilNadu,10-12-2016,,,
OD193,Anu,Beverages,HealthDrinks,Dharmapuri,2016-12-10,East,1972,0.32,414.12,TamilNadu,10-12-2016,,,
OD194,Suresh,Oil&Masala,Masalas,Dharmapuri,2016-12-10,East,2060,0.25,432.6,TamilNadu,10-12-2016,,,
OD195,Peer,"Eggs,Meat&Fish",Eggs,Tirunelveli,10-31-2016,West,1175,0.12,340.75,TamilNadu,10-31-2016,,,
OD196,Sundar,Oil&Masala,EdibleOil&Ghee,Theni,3-21-2015,East,1006,0.25,191.14,TamilNadu,3-21-2015,,,
OD197,Sudeep,Bakery,Breads&Buns,Karur,3-21-2015,East,1409,0.16,380.43,TamilNadu,3-21-2015,,,
OD198,Verma,FoodGrains,OrganicStaples,Pudukottai,2018-06-11,East,914,0.34,338.18,TamilNadu,11-06-2018,,,
OD199,Surya,"Eggs,Meat&Fish",Mutton,Tirunelveli,2018-06-07,East,1352,0.3,527.28,TamilNadu,07-06-2018,,,
OD200,Sudha,"Eggs,Meat&Fish",Eggs,Trichy,2018-06-07,East,682,0.25,170.5,TamilNadu,07-06-2018,,,
OD201,James,FoodGrains,OrganicStaples,Tirunelveli,6-24-2018,East,1738,0.22,243.32,TamilNadu,6-24-2018,,,
OD202,Vidya,Bakery,Cakes,Salem,2015-03-08,West,2421,0.25,484.2,TamilNadu,08-03-2015,,,
OD203,Jackson,FoodGrains,OrganicStaples,Ramanadhapuram,2015-03-08,West,2245,0.24,404.1,TamilNadu,08-03-2015,,,
OD204,Akash,Oil&Masala,Masalas,Vellore,12-17-2018,Central,896,0.12,295.68,TamilNadu,12-17-2018,,,
OD205,Ram,Oil&Masala,Spices,Virudhunagar,2018-03-06,South,1033,0.3,185.94,TamilNadu,06-03-2018,,,
OD206,Vinne,"Eggs,Meat&Fish",Mutton,Madurai,2018-09-12,West,1998,0.29,139.86,TamilNadu,12-09-2018,,,
OD207,Verma,"Eggs,Meat&Fish",Chicken,Perambalur,2018-01-12,Central,1469,0.15,646.36,TamilNadu,12-01-2018,,,
OD208,Haseena,"Eggs,Meat&Fish",Eggs,Ramanadhapuram,2018-01-12,Central,1899,0.25,360.81,TamilNadu,12-01-2018,,,
